Algorithm_name,reinas,env_n,states_n,solution_found,time
Hill Climbing,4,1,3,True,0.0009999275207519531
Simulated Annealing,4,1,100,True,0.001007080078125
Genetic,4,1,0,True,0.002992868423461914
Hill Climbing,4,2,2,True,0.0
Simulated Annealing,4,2,31,True,0.0010135173797607422
Genetic,4,2,0,True,0.001986265182495117
Hill Climbing,4,3,3,True,0.0
Simulated Annealing,4,3,50,True,0.0010809898376464844
Genetic,4,3,0,True,0.0021860599517822266
Hill Climbing,4,4,1,True,0.0
Simulated Annealing,4,4,81,True,0.0010139942169189453
Genetic,4,4,0,True,0.0017881393432617188
Hill Climbing,4,5,2,True,0.0
Simulated Annealing,4,5,63,True,0.0
Genetic,4,5,0,True,0.0030150413513183594
Hill Climbing,4,6,100,False,0.004007101058959961
Simulated Annealing,4,6,94,True,0.0010578632354736328
Genetic,4,6,0,True,0.0033817291259765625
Hill Climbing,4,7,100,False,0.003746509552001953
Simulated Annealing,4,7,134,True,0.0020008087158203125
Genetic,4,7,0,True,0.0017266273498535156
Hill Climbing,4,8,1,True,0.0
Simulated Annealing,4,8,42,True,0.0009927749633789062
Genetic,4,8,0,True,0.0013420581817626953
Hill Climbing,4,9,1,True,0.0
Simulated Annealing,4,9,84,True,0.0012328624725341797
Genetic,4,9,0,True,0.0028791427612304688
Hill Climbing,4,10,2,True,0.0
Simulated Annealing,4,10,7,True,0.0
Genetic,4,10,0,True,0.003100872039794922
Hill Climbing,8,1,100,False,0.04023575782775879
Simulated Annealing,8,1,14527,False,0.48479390144348145
Genetic,8,1,734,True,0.6824951171875
Hill Climbing,8,2,100,False,0.036546945571899414
Simulated Annealing,8,2,522,True,0.02001166343688965
Genetic,8,2,775,True,0.7509691715240479
Hill Climbing,8,3,100,False,0.04030895233154297
Simulated Annealing,8,3,202,True,0.00965118408203125
Genetic,8,3,10000,False,8.362005710601807
Hill Climbing,8,4,100,False,0.02856588363647461
Simulated Annealing,8,4,2537,True,0.08029818534851074
Genetic,8,4,10000,False,6.64571738243103
Hill Climbing,8,5,4,True,0.0020003318786621094
Simulated Annealing,8,5,123,True,0.003247499465942383
Genetic,8,5,10000,False,6.829330205917358
Hill Climbing,8,6,100,False,0.029540061950683594
Simulated Annealing,8,6,1521,True,0.04647207260131836
Genetic,8,6,1581,True,1.1835756301879883
Hill Climbing,8,7,100,False,0.024999380111694336
Simulated Annealing,8,7,1447,True,0.03757810592651367
Genetic,8,7,2267,True,1.5840823650360107
Hill Climbing,8,8,100,False,0.031389713287353516
Simulated Annealing,8,8,139,True,0.004984140396118164
Genetic,8,8,6556,True,4.618023633956909
Hill Climbing,8,9,4,True,0.0011637210845947266
Simulated Annealing,8,9,98,True,0.002512693405151367
Genetic,8,9,1253,True,0.9314186573028564
Hill Climbing,8,10,100,False,0.026307106018066406
Simulated Annealing,8,10,169,True,0.010007858276367188
Genetic,8,10,10000,False,6.7217488288879395
Hill Climbing,10,1,100,False,0.06292414665222168
Simulated Annealing,10,1,14527,False,0.585146427154541
Genetic,10,1,10000,False,10.167720317840576
Hill Climbing,10,2,100,False,0.07114315032958984
Simulated Annealing,10,2,4225,True,0.15197515487670898
Genetic,10,2,2927,True,2.899191379547119
Hill Climbing,10,3,100,False,0.06328964233398438
Simulated Annealing,10,3,916,True,0.03645443916320801
Genetic,10,3,5753,True,5.925562381744385
Hill Climbing,10,4,100,False,0.060333251953125
Simulated Annealing,10,4,4894,True,0.20232748985290527
Genetic,10,4,5307,True,5.478350877761841
Hill Climbing,10,5,100,False,0.062471866607666016
Simulated Annealing,10,5,2515,True,0.10637760162353516
Genetic,10,5,10000,False,10.092265129089355
Hill Climbing,10,6,100,False,0.06368589401245117
Simulated Annealing,10,6,14527,False,0.5778324604034424
Genetic,10,6,6704,True,6.818012714385986
Hill Climbing,10,7,100,False,0.06313371658325195
Simulated Annealing,10,7,7236,True,0.2859528064727783
Genetic,10,7,4847,True,4.925340175628662
Hill Climbing,10,8,100,False,0.060509681701660156
Simulated Annealing,10,8,6480,True,0.26991891860961914
Genetic,10,8,10000,False,9.921125411987305
Hill Climbing,10,9,100,False,0.0609283447265625
Simulated Annealing,10,9,244,True,0.008682727813720703
Genetic,10,9,10000,False,10.010043144226074
Hill Climbing,10,10,100,False,0.06400012969970703
Simulated Annealing,10,10,14527,False,0.5690000057220459
Genetic,10,10,10000,False,10.003774881362915
